Time	raw data (bpm)	rolling average (bpm)
21:41:16	130.0	130.0
21:41:16	130.0	130.0
21:41:17	130.0	130.0
21:41:17	130.0	130.0
21:41:18	130.0	130.0
21:41:19	130.0	130.0
21:41:19	130.0	130.0
21:41:20	130.0	130.0
21:41:20	130.0	130.0
21:41:21	130.0	130.0
21:41:22	130.0	130.0
21:41:22	130.0	130.0
21:41:23	130.0	130.0
21:41:23	130.0	130.0
21:41:24	130.0	130.0
21:41:24	130.0	130.0
21:41:25	130.0	130.0
21:41:26	130.0	130.0
21:41:26	130.0	130.0
21:41:27	130.0	130.0
21:41:27	130.0	130.0
21:41:28	130.0	130.0
21:41:29	130.0	130.0
21:41:29	130.0	130.0
21:41:30	130.0	130.0
21:41:30	130.0	130.0
21:41:31	130.0	130.0
21:41:32	130.0	130.0
21:41:32	130.0	130.0
21:41:33	130.0	130.0
21:41:33	130.0	130.0
21:41:34	130.0	130.0
21:41:35	130.0	130.0
21:41:35	130.0	130.0
21:41:36	130.0	130.0
21:41:36	130.0	130.0
21:41:37	130.0	130.0
21:41:38	130.0	130.0
21:41:38	130.0	130.0
21:41:39	200.0	133.5
21:41:39	200.0	137.0
21:41:40	200.0	140.5
21:41:41	200.0	144.0
21:41:41	200.0	147.5
21:41:42	200.0	151.0
21:41:42	200.0	154.5
21:41:43	200.0	158.0
21:41:44	200.0	161.5
21:41:44	200.0	165.0
21:41:45	200.0	168.5
21:41:45	200.0	172.0
21:41:48	200.0	175.5
21:41:50	200.0	179.0
21:41:51	200.0	182.5
21:41:52	200.0	186.0
21:41:53	200.0	189.5
21:41:54	200.0	193.0
